region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
4423031031,44,230,310,31,4423031031,4423031031,충청남도 논산시 성동면 삼호리,11,,4423031000,삼호리,
4423032000,44,230,320,00,4423032000,4423032000,충청남도 논산시 광석면,15,,4423000000,광석면,
4423032021,44,230,320,21,4423032021,4423032021,충청남도 논산시 광석면 신당리,1,,4423032000,신당리,
4423032022,44,230,320,22,4423032022,4423032022,충청남도 논산시 광석면 중리,2,,4423032000,중리,
4423032023,44,230,320,23,4423032023,4423032023,충청남도 논산시 광석면 득윤리,3,,4423032000,득윤리,
4423032024,44,230,320,24,4423032024,4423032024,충청남도 논산시 광석면 갈산리,4,,4423032000,갈산리,
4423032025,44,230,320,25,4423032025,4423032025,충청남도 논산시 광석면 광리,5,,4423032000,광리,
4423032026,44,230,320,26,4423032026,4423032026,충청남도 논산시 광석면 이사리,6,,4423032000,이사리,
4423032027,44,230,320,27,4423032027,4423032027,충청남도 논산시 광석면 산동리,7,,4423032000,산동리,
4423032028,44,230,320,28,4423032028,4423032028,충청남도 논산시 광석면 천동리,8,,4423032000,천동리,
4423032029,44,230,320,29,4423032029,4423032029,충청남도 논산시 광석면 왕전리,9,,4423032000,왕전리,
4423032030,44,230,320,30,4423032030,4423032030,충청남도 논산시 광석면 항월리,10,,4423032000,항월리,
4423032031,44,230,320,31,4423032031,4423032031,충청남도 논산시 광석면 사월리,11,,4423032000,사월리,
4423032032,44,230,320,32,4423032032,4423032032,충청남도 논산시 광석면 율리,12,,4423032000,율리,
4423032033,44,230,320,33,4423032033,4423032033,충청남도 논산시 광석면 오강리,13,,4423032000,오강리,
4423033000,44,230,330,00,4423033000,4423033000,충청남도 논산시 노성면,16,,4423000000,노성면,
4423033021,44,230,330,21,4423033021,4423033021,충청남도 논산시 노성면 읍내리,1,,4423033000,읍내리,
4423033022,44,230,330,22,4423033022,4423033022,충청남도 논산시 노성면 두사리,2,,4423033000,두사리,
4423033023,44,230,330,23,4423033023,4423033023,충청남도 논산시 노성면 송당리,3,,4423033000,송당리,
4423033024,44,230,330,24,4423033024,4423033024,충청남도 논산시 노성면 교촌리,4,,4423033000,교촌리,
4423033025,44,230,330,25,4423033025,4423033025,충청남도 논산시 노성면 하도리,5,,4423033000,하도리,
